Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.us.codex-mopa.json	24426	-	0	0	0	0	0	0	7	78	0	0	0	0	0	0	0	1	0	0	0	219	385	0	0	0	4	0	2
fsh-generated/resources/Bundle-ExampleOrderSelectBundle.json	3617	4	8	0	3	0	0	0	1	1911	0	0	0	0	0	0	0	0	0	0	0	40	61	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleOrderSignBundle.json	5893	3	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	54	97	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ocpa-crd-client.json	4357	1	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	57	62	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-ocpa-crd-service.json	4043	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	57	44	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ocpa-codes.json	1490	2	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	0	27	99	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-treatment-line-cs.json	1815	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	35	74	0	0	0	0	0	0
fsh-generated/resources/Condition-MOPABreastCancerConditionExample.json	1242	2	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	24	24	0	0	0	0	0	0
fsh-generated/resources/Condition-MOPAMetastaticBreastCancerConditionExample.json	1035	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-CyclophosphamideMedRequestDDACT.json	812	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	37	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-DocetaxelMedRequestPHD.json	806	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	22	32	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-DoxorubicinMedRequestDDACT.json	801	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	30	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PaclitaxelMedRequestTH.json	790	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	31	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PaclitaxelMedRequestTPHase.json	816	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	30	0	0	1	0	0	0
fsh-generated/resources/MedicationRequest-PegfilgrastimMedRequestDDACT.json	812	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	35	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PertuzumabMedRequestPHD.json	809	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	19	33	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-TrastuzumabMedRequestPHD.json	812	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	36	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-TrastuzumabMedRequestTH.json	815	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	52	0	0	0	0	0	0
fsh-generated/resources/Patient-MOPAPatientExample.json	623	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	23	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RegimenDdACT.json	3217	3	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	53	44	0	0	0	0	0	0
